,Name,Age,Gender,Net_Worth,Region,Company
115,Len Blavatnik,56.0,male,18.7,North America,Renova Group
119,Alisher Usmanov,60.0,male,18.6,Europe,Metalloinvest
120,Mukesh Ambani,56.0,male,18.6,South Asia,Reliance
24,S Robson Walton,57.0,male,18.6,North America,Walmart
27,Alice Walton,52.0,female,18.5,North America,Walmart
28,Helen Walton,81.0,female,18.5,North America,Walmart
124,Masayoshi Son,56.0,male,18.4,East Asia,Softbank
125,Michael Otto,70.0,male,18.4,Europe,Otto Group
126,Phil Knight,76.0,male,18.4,North America,Nike
133,Tadashi Yanai,65.0,male,17.9,East Asia,Fast Retailing/Uniqlo
33,Johanna Quandt,73.0,female,17.8,Europe,BMW
136,Gina Rinehart,60.0,female,17.7,North America,Hancock Prospecting
140,Mikhail Fridman,49.0,male,17.6,Europe,Alfa Group
142,Michael Dell,49.0,male,17.5,North America,Dell
145,Susanne Klatten,51.0,female,17.4,Europe,BMW
149,Abigail Johnson,52.0,female,17.3,North America,Fidelity Investments
151,Viktor Vekselberg,56.0,male,17.2,Europe,Renova Group
154,Lakshmi Mittal,63.0,male,16.7,South Asia,ArcelorMittal
157,Vladimir Lisin,57.0,male,16.6,Europe,NLMK
36,Steven Ballmer,44.0,male,16.6,North America,Microsoft
39,Kenneth Thomson,77.0,male,16.4,North America,Thomson Corporation (now Thomson Reuters)
160,Cheng Yu-tung,88.0,male,16.2,East Asia,Chow Tai Fook Enterprises
164,Joseph Safra,75.0,male,16.0,Latin America,Banco Safra (now Saftra Group)
166,Paul Allen,61.0,male,15.9,North America,Microsoft
171,Leonid Mikhelson,58.0,male,15.6,Europe,Novatek
42,Liliane Bettencourt,78.0,female,15.6,Europe,L'Oreal
175,Iris Fontbona,71.0,female,15.5,Latin America,Antofagasta PLC
173,Anne Cox Chambers,94.0,female,15.5,North America,Cox Enterprises
174,Francois Pinault,77.0,male,15.5,Europe,"Pinault-Printemps-Redoute (PPR), now known as Kering"
185,Mohammad Al Amoudi,67.0,male,15.3,Middle East/North Africa,MIDROC
184,Gennady Timchenko,61.0,male,15.3,Europe,Gunvor Group
183,Azim Premji,68.0,male,15.3,South Asia,Wipro Limited
45,Philip Anschutz,61.0,male,15.3,North America,Circle A Drilling
193,Wang Jianlin,59.0,male,15.1,East Asia,Dalian Wanda Group
195,Charles Ergen,61.0,male,15.0,North America,dish networtk
2,Warren Buffett,65.0,male,15.0,North America,Berkshire Hathaway
197,Stefan Quandt,47.0,male,14.9,Europe,BMW
199,German Larrea Mota Velasco,60.0,male,14.7,Latin America,Grupo Mexio
202,Harold Hamm,68.0,male,14.6,North America,Continental Resources
206,Ray Dalio,64.0,male,14.4,North America,Bridgewater Associates
205,Donald Bren,81.0,male,14.4,North America,Irvine Company
214,Georg Schaeffler,49.0,male,14.3,Europe,Schaeffler Group
216,Luis Carlos Sarmiento,81.0,male,14.2,Latin America,"Grupo Aval Acciones y Valores, SA"
220,Serge Dassault,88.0,male,14.0,Europe,Dassault Group
219,Ronald Perelman,71.0,male,14.0,North America,MacAnderws and Forbes Holdings
218,Laurene Powell Jobs,50.0,female,14.0,North America,Apple
227,John Fredriksen,69.0,male,13.6,Europe,Frontline Ltd.
228,Vagit Alekperov,63.0,male,13.6,Europe,Lukoil
233,Rupert Murdoch,82.0,male,13.5,North America,News Limited
232,John Paulson,58.0,male,13.5,North America,Paulson & Co.
239,Ma Huateng,42.0,male,13.4,East Asia,Tencent
5,Oeri Hoffman and Sacher,,,13.1,Europe,F. Hoffmann-La Roche
48,Ingvar Kamprad,74.0,male,13.0,Europe,IKEA
241,Gerald Cavendish Grosvenor,62.0,male,13.0,Europe,Grosvenor Group
252,Jack Taylor,91.0,male,12.8,North America,Enterprise
254,Pallonji Mistry,84.0,male,12.8,Europe,?Shapoorji Pallonji Group
253,Johanna Quandt,87.0,female,12.8,Europe,BMW
251,Dilip Shanghvi,58.0,male,12.8,South Asia,Sun Pharmaceutical Industries
8,Lee Shau Kee,68.0,male,12.7,East Asia,Henderson Land Development
260,Vladimir Potanin,53.0,male,12.6,Europe,Interros
52,Sumner Redstone,77.0,male,12.6,North America,National Amusements
51,Li Ka-shing,72.0,male,12.6,East Asia,Cheung king
259,Thomas and Raymond Kwok,,male,12.6,East Asia,Sun Hung Kai Properties
264,Rinat Akhmetov,47.0,male,12.5,Europe,System Capital Management Group
263,James Simons,75.0,male,12.5,North America,Renaissance Technologies
269,Alberto Bailleres Gonzalez,82.0,male,12.4,Latin America,Penoles
11,Tsai Wan-lin,71.0,male,12.2,East Asia,Lin Yuan Group
271,Robin Li,45.0,male,12.1,East Asia,Baidu
276,Ernesto Bertarelli,48.0,male,12.0,Europe,Serono
277,Hans Rausing,87.0,male,12.0,Europe,Tetra Pak
57,Leo Kirch,,male,12.0,Europe,Kirch Group
61,Barbara Cox Anthony,77.0,female,11.7,North America,Cox Enterprises
60,Anne Cox Chambers,81.0,female,11.7,North America,Cox Enterprises
280,Zong Qinghou,68.0,male,11.6,East Asia,Hangzhou Wahaha Group
284,Robert Kuok,90.0,male,11.5,East Asia,Shangri-La Hotels
283,David & Simon Reuben,71.0,male,11.5,Europe,Trans-World Metals
66,Walter Thomas and Raymond Kwok,,male,11.5,East Asia,Sun Hung Kai Properties
290,Dhanin Chearavanont,74.0,male,11.4,East Asia,Charoen Pokphand (CP Group)
291,Henry Sy,89.0,male,11.4,East Asia,SM Malls
289,Andrey Melnichenko,41.0,male,11.4,Europe,MDM Bank
302,German Khan,52.0,male,11.3,Europe,Alfa Group
301,Ananda Krishnan,75.0,male,11.3,East Asia,Usaha Tegas Sdn Bhd
14,Walter Thomas and Raymond Kwok,,male,11.2,East Asia,Sun Hung Kai Properties
307,Miuccia Prada,64.0,female,11.1,Europe,Prada
305,Alejandro Santo Domingo Davila,37.0,male,11.1,Latin America,Santo Domingo Group
308,Shiv Nadar,68.0,male,11.1,South Asia,HCL
306,Lee Kun-Hee,72.0,male,11.1,East Asia,Samsung
318,Petr Kellner,49.0,male,11.0,Europe,PPF (Prvn? privatizacn? fond)
320,Steve Cohen,58.0,male,11.0,North America,SAC Capital Advisors
319,Robert & Philip Ng,,male,11.0,East Asia,Sino Group
330,Andrew Beal,61.0,male,10.9,North America,Beal Bank
331,Mikhail Prokhorov,48.0,male,10.9,Europe,Norilsk Nickel
70,John Kluge,86.0,male,10.9,North America,Metropolitan Broadcasting Corporation
72,Carlos Slim Helu,61.0,male,10.8,Latin America,Telmex
75,Bernard Arnault,52.0,male,10.7,Europe,LVMH
18,Li Ka-shing,67.0,male,10.6,East Asia,Cheung king
335,Hansjoerg Wyss,79.0,male,10.5,Europe,Synthes USA
79,Michael Dell,36.0,male,10.5,North America,Dell
78,Ernesto Bertarelli,35.0,male,10.5,Europe,Serono
334,Alexei Mordashov,48.0,male,10.5,Europe,Severstal
338,Charlene de Carvalho-Heineken,59.0,female,10.4,Europe,Heineken International
339,Klaus-Michael Kuehne,76.0,male,10.4,Europe,Kuhne + Nagel
340,Philip Anschutz,74.0,male,10.4,North America,Circle A Drilling
341,Stefano Pessina,72.0,male,10.4,Europe,Alliance Boots
355,Li Hejun,46.0,male,10.3,East Asia,Hanergy Solar
356,Sergei Galitsky,46.0,male,10.3,Europe,Magnit
84,Silvio Berlusconi,64.0,male,10.3,Europe,Fininvest
360,Marcel Herrmann Telles,64.0,male,10.2,Latin America,Ambev
359,Kjeld Kirk Kristiansen,66.0,male,10.2,Europe,Lego
363,Charles Butt,76.0,male,10.1,North America,H-E-B supermarket
365,Carrie Perrodo,63.0,female,10.0,Europe,Perenco
369,Jack Ma,49.0,male,10.0,East Asia,Alibaba group
366,David Tepper,56.0,male,10.0,North America,Appaloosa Management
371,Stephen Schwarzman,67.0,male,10.0,North America,Blackstone Group
367,George Kaiser,71.0,male,10.0,North America,Kaiser-Francis Oil Company
370,Patrick Soon-Shiong,62.0,male,10.0,North America,American Pharmaceutical Partners 
368,Hinduja Brothers,,male,10.0,Europe,Hinduja Group
385,Giorgio Armani,79.0,male,9.9,Europe,Armani
396,Tsai Eng-Meng,57.0,male,9.5,East Asia,Want Want China
395,Richard Kinder,69.0,male,9.5,North America,Kinder Morgan Energy Partners
400,Eric Schmidt,58.0,male,9.3,North America,google
401,Hiroshi Mikitani,49.0,male,9.3,East Asia,Rakuten
399,"Edward Johnson, III.",83.0,male,9.3,North America,Fidelity Investments
402,"Samuel Newhouse, Jr.",86.0,male,9.3,North America,Advance Publications
20,Yoshiaki Tsutsumi,61.0,male,9.2,East Asia,Seibu Corporation
407,Dietrich Mateschitz,69.0,male,9.2,Europe,Red Bull
412,Roman Abramovich,47.0,male,9.1,Europe,Millhouse LLC
411,Roberto Marinho,66.0,male,9.1,Latin America,Globo Organizations
409,Joao Roberto Marinho,60.0,male,9.1,Latin America,Globo Organizations
87,Abigail Johnson,39.0,female,9.1,North America,Fidelity Investments
410,Jose Roberto Marinho,58.0,male,9.1,Latin America,Globo Organizations
426,Charoen Sirivadhanabhakdi,69.0,male,9.0,East Asia,ThaiBev
427,Gerard Wertheimer,63.0,male,9.0,Europe,Chanel
428,Silvio Berlusconi,77.0,male,9.0,Europe,Fininvest
429,Vladimir Yevtushenkov,65.0,male,9.0,Europe,Sistema/Sitronics
425,Alain Wertheimer,65.0,male,9.0,Europe,Chanel
93,Kirsten Rausing,,female,9.0,Europe,Tetra Pak
26,Hans and Gad Rausing,,male,9.0,Europe,Tetra Pak
92,John Mars,64.0,male,9.0,North America,"Mars, Incorperated"
91,Jacqueline Mars,,female,9.0,North America,"Mars, Incorperated"
90,Forrest Mars Jr,69.0,male,9.0,North America,"Mars, Incorperated"
23,Theo and Karl Albrecht,,male,9.0,Europe,Aldi Nord
440,Carlos Alberto Sicupira,66.0,male,8.9,Latin America,Ambev
102,Charles Ergen,48.0,male,8.8,North America,dish networtk
103,Ted Turner,62.0,male,8.8,North America,CNN
443,Dmitry Rybolovlev,47.0,male,8.8,Europe,Uralkali
442,Alexei Kuzmichev,51.0,male,8.8,Europe,Alfa Group
446,Thomas Peterffy,69.0,male,8.8,North America,Interactive Brokers
445,Hasso Plattner,70.0,male,8.8,Europe,SAP AG
444,Elaine Marshall,71.0,female,8.8,North America,Koch industries
463,Ludwig Merckle,49.0,male,8.6,Europe,Ratiopharm
468,Hank & Doug Meijer,,male,8.5,North America,Meijer
467,Galen Weston,73.0,male,8.5,North America,George Weston Limited
466,Donald Newhouse,84.0,male,8.5,North America,Advance Publications
465,Antonia Johnson,70.0,female,8.5,Europe,Axel Johnson Group
469,Michael Kadoorie,72.0,male,8.5,East Asia,CLP Holdings
475,Elon Musk,42.0,male,8.4,North America,"Paypal, SpaceX, Tesla Motors"
476,Joseph Lau,62.0,male,8.4,East Asia,Chinese Estates Holdings
109,Yasuo Takei,71.0,male,8.3,East Asia,Takefuji
480,Ricardo Salinas Pliego,58.0,male,8.3,Latin America,Grupo Salinas/Group Elektra
479,August von Finck,83.0,male,8.3,Europe,"Allianz, Merk Finck & Co"
490,Xavier Niel,46.0,male,8.2,Europe,Iliad
489,Pierre Omidyar,46.0,male,8.2,North America,Ebay
488,Andrei Skoch,48.0,male,8.2,Europe,Metallionvest
30,Johanna Quandt,68.0,female,8.1,Europe,BMW
32,Haniel family,,,8.1,Europe,Franz Haniel & Cie
494,Margarita Louis-Dreyfus,50.0,female,8.1,Europe,Louis-Dreyfus Goup
111,Suliman Olayan,,male,8.0,Middle East/North Africa,General Contracting Company
496,Pierre Castel,87.0,male,8.0,Europe,Goupe Castel
505,Emmanuel Besnier,43.0,male,7.9,Europe,Lactalis
114,Rupert Murdoch,70.0,male,7.8,North America,News Limited
508,David Duffield,73.0,male,7.7,North America,PeopleSoft
117,Hans Rausing,74.0,male,7.7,Europe,Tetra Pak
118,Nobutada Saji,55.0,male,7.7,East Asia,Suntory
509,Jean-Claude Decaux,76.0,male,7.7,Europe,JCDecaux
510,Jim Kennedy,66.0,male,7.7,North America,Cox Enterprises
511,Reinhold Wuerth,78.0,male,7.7,Europe,Adolf Wurth Group
507,Blair Parry-Okeden,63.0,female,7.7,North America,Cox Enterprises
517,Jacques Servier,92.0,male,7.6,Europe,Laboratories Servier
518,Johann Rupert,63.0,male,7.6,Sub-Saharan Africa,Rembrandt Group
519,R Budi Hartono,73.0,male,7.6,East Asia,Djarum
520,Tsai Wan-Tsai,84.0,male,7.6,East Asia,Fubon Financial holding Company
35,Paul Allen,43.0,male,7.5,North America,Microsoft
530,Charles Johnson,81.0,male,7.5,North America,Franklin Resources
531,James Goodnight,71.0,male,7.5,North America,SAS institute
533,"John Menard, Jr.",74.0,male,7.5,North America,Menards
534,Klaus Tschira,73.0,male,7.5,Europe,SAP AG
535,Leonard Lauder,80.0,male,7.5,North America,Est?Lauder
532,John Malone,72.0,male,7.5,North America,Tele-Communications Inc
38,Kenneth Thomson,72.0,male,7.4,North America,Thomson Corporation (now Thomson Reuters)
557,Vincent Bollore,61.0,male,7.4,Europe,Bollore
560,Michael Hartono,74.0,male,7.3,East Asia,Djarum
559,Jim Pattison,85.0,male,7.3,North America,Jim Pattison Group
41,John Kluge,81.0,male,7.2,North America,Metropolitan Broadcasting Corporation
566,Peter Woo,68.0,male,7.2,East Asia,Worldwide Shipping Group
564,Heinz Hermann Thiele,72.0,male,7.2,Europe,Knorr-Bremse AG
563,Augusto & Giorgio Perfetti,,male,7.2,Europe,Perfetti Van Melle
565,Johann Graf,67.0,male,7.2,Europe,Novomatic Automatenhandels AG
571,He Xiangjian,71.0,male,7.1,East Asia,Midea
575,Graeme Hart,58.0,male,7.0,North America,Rank Group
573,Dietmar Hopp,73.0,male,7.0,Europe,SAP AG
44,Tan Yu,,male,7.0,East Asia,Asiaworld Internationale Group
574,Eyal Ofer,63.0,male,7.0,Middle East/North Africa,Zodiac Maritime Agencies
577,Ralph Lauren,74.0,male,7.0,North America,Ralph Lauren
576,Kumar Birla,46.0,male,7.0,South Asia,Aditya Birla Group
589,Richard DeVos,88.0,male,6.9,North America,Amway
587,Charles Cadogan,76.0,male,6.9,Europe,Cadogan Estates
588,Eli Broad,80.0,male,6.9,North America,"Kaufman and Broad, SunAmerica"
123,Azim Premji,55.0,male,6.9,South Asia,Wipro Limited
591,Wei Jianjun,50.0,male,6.9,East Asia,Great Wall Motors
592,Yang Huiyan,32.0,female,6.9,East Asia,Country Garden Holdings
590,Suleiman Kerimov,47.0,male,6.9,Europe,Gazprom
612,Jan Koum,38.0,male,6.8,North America,WhatsApp
610,Chung Mong-Koo,75.0,male,6.8,East Asia,Hyundai
611,Dustin Moskovitz,29.0,male,6.8,North America,Facebook
617,Nicky Oppenheimer,68.0,male,6.7,Sub-Saharan Africa,De Beers
47,Wonowidjojo family,,,6.7,East Asia,Gudang Garam
616,Nassef Sawiris,53.0,male,6.7,Europe,Orascom
128,Amancio Ortega,65.0,male,6.6,Europe,Zara
129,Leonardo Del Vecchio,65.0,male,6.6,Europe,?Luxottica
620,Takemitsu Takizaki,68.0,male,6.6,East Asia,Keyence
623,Leonid Fedun,57.0,male,6.5,Europe,Lukoil
624,Micky Arison,64.0,male,6.5,North America,Carnival Corporation
625,Oleg Deripaska,46.0,male,6.5,Europe,SibAl
622,James Packer,46.0,male,6.5,North America,Consolidated Press Holdings Limited
132,Gerald Cavendish Grosvenor,49.0,male,6.5,Europe,Grosvenor Group
645,Quek Leng Chan,70.0,male,6.4,East Asia,Hong Leong Financial Group
644,Pansy Ho,51.0,female,6.4,East Asia,Sociedade de Turismo e Divers?es de Macau
643,Eva Gonda Rivera,,female,6.4,Latin America,FEMSA
135,Kirk Kerkorian,83.0,male,6.4,North America,MGM Grand
138,Charles Schwab,63.0,male,6.3,North America,Charles Schwab Corporation
656,Scott Duncan,31.0,male,6.3,North America,Enterprise Products
653,Paolo & Gianfelice Mario Rocca,,male,6.3,Europe,Techint
652,Milane Frantz,44.0,female,6.3,North America,Enterprise Products
651,Ivan Glasenberg,57.0,male,6.3,North America,Glencore Xstrata
650,"Herbert Kohler, Jr.",75.0,male,6.3,North America,Kohler Company
649,Dannine Avara,50.0,female,6.3,North America,Enterprise Products
655,Randa Williams,52.0,female,6.3,North America,Enterprise Products
654,Patrick Drahi,50.0,male,6.3,Europe,Altice
139,Francois Pinault,64.0,male,6.3,Europe,"Pinault-Printemps-Redoute (PPR), now known as Kering"
678,"Rupert Johnson, Jr.",72.0,male,6.2,North America,Franklin Resources
680,Sumner Redstone,90.0,male,6.2,North America,National Amusements
679,S. Truett Cathy,92.0,male,6.2,North America,Chick-fil-A
688,Richard LeFrak,68.0,male,6.1,North America,LeFrack 
684,David Geffen,71.0,male,6.1,North America,Asylum Records/Geffen Records/Dreamworks
685,Iskander Makhmudov,50.0,male,6.1,Europe,Ural Mining and Metallurgical Company
686,Lucio Tan,79.0,male,6.1,East Asia,Asia Brewery
690,"Thomas Frist, Jr.",75.0,male,6.1,North America,Hostpital Corporation of America
50,Carlos Slim Helu,56.0,male,6.1,Latin America,Telmex
689,Sandra Ortega Mera,45.0,female,6.1,Europe,Zara
144,Pierre Landolt,,male,6.1,Europe,AxialPar
687,Pyotr Aven,58.0,male,6.1,Europe,Alfa Group
719,James Irving,85.0,male,6.0,North America,J.D. Irving
147,George Soros,70.0,male,6.0,North America,Soros Fund Management
716,Denis O'Brien,55.0,male,6.0,Europe,Estat Digiphone (O2)
717,Filaret Galchev,50.0,male,6.0,Europe,Rosuglesbyt
718,Ira Rennert,79.0,male,6.0,North America,Renco
715,Chan Laiwa,73.0,female,6.0,East Asia,Fuwah International Group
148,Nasser Al-Kharafi,57.0,male,6.0,Middle East/North Africa,Kharafi Group
54,Larry Ellison,51.0,male,6.0,North America,Oracle
720,Patrizio Bertelli,68.0,male,6.0,Europe,Prada
153,Lee Shau Kee,73.0,male,5.9,East Asia,Henderson Land Development
56,Chung Ju-yung,,male,5.9,East Asia,Hyundai Group
730,Leon Black,62.0,male,5.8,North America,Apollo Global management
727,Charles Schwab,76.0,male,5.8,North America,Charles Schwab Corporation
156,Eli Broad,67.0,male,5.8,North America,"Kaufman and Broad, SunAmerica"
728,Dennis Washington,79.0,male,5.8,North America,Washington Companies
729,Gayle Cook,80.0,female,5.8,North America,Cook Group
736,Hui Wing Mau,63.0,male,5.7,East Asia,Shimao Property
735,Hui Ka Yan,55.0,male,5.7,East Asia,Evergrande Group
737,Idan Ofer,58.0,male,5.7,Middle East/North Africa,Zodiac Maritime Agencies
159,James Goodnight,58.0,male,5.7,North America,SAS institute
738,Isak Andic,60.0,male,5.7,Europe,Mango
741,Patrick McGovern,76.0,male,5.7,North America,International Data Goup
59,Gerard Mulliez,,male,5.7,Europe,Auchan
739,Jorn Rausing,54.0,male,5.7,Europe,Tetra Pak
740,Leslie Wexner,76.0,male,5.7,North America,Limited Brands
65,Kwek Leng Beng,55.0,male,5.7,East Asia,Hong Leong Group
742,Sunil Mittal,56.0,male,5.7,South Asia,Bharti Enterprises
63,Robert Kuok,73.0,male,5.7,East Asia,Tana Exploration Company
774,Stanley Kroenke,66.0,male,5.6,North America,Kroenke Sports Enterprises
775,Teh Hong Piow,83.0,male,5.6,East Asia,Public Bank
162,Kyosuke Kinoshita,60.0,male,5.6,East Asia,Acom
773,Ray Lee Hunt,71.0,male,5.6,North America,Hunt Oil. Co
163,Masayoshi Son,43.0,male,5.6,East Asia,Softbank
168,Luciano Benetton,65.0,male,5.5,Europe,Benetton Group
69,Cheng Yu-tung,70.0,male,5.5,East Asia,Chow Tai Fook Enterprises
169,Robert Pritzker,74.0,male,5.5,North America,Hyatt
170,Thomas Pritzker,50.0,male,5.5,North America,Hyatt
71,Walter Haefner,85.0,male,5.5,Europe,Automation Center
785,Thomas Schmidheiny,68.0,male,5.5,Europe,Holcim
784,Michael Ashley,49.0,male,5.5,Europe,Sports Direct
783,Liu Yongxing,65.0,male,5.5,East Asia,East Hope Group
782,Jeffery Hildebrand,54.0,male,5.5,North America,Hilcorp Energy Company
781,Carlos and Alejandro Bulgheroni,,male,5.5,Latin America,Bridas Energy
779,Arthur Irving,84.0,male,5.5,North America,Irving Oil
780,Bruno Schroder,81.0,male,5.5,Europe,Schroders
178,Curt Engelhorn,74.0,male,5.4,Europe,BASF/Boehringer Mannheim/DePuy
180,Hasso Plattner,57.0,male,5.4,Europe,SAP AG
181,Paul-Louis Halley,,male,5.4,Europe,Promodes
179,Gordon Moore,72.0,male,5.4,North America,Intel 
793,Melker Schorling,66.0,male,5.4,Europe,Melker Schorling AB (MSAB)
794,Sergei Popov,42.0,male,5.4,Europe,MDM Bank
795,Stephen Ross,73.0,male,5.4,North America,The Related Companies
796,Terry Gou,63.0,male,5.4,East Asia,Foxconn
189,Friedrich Flick,74.0,male,5.3,Europe,Friedrich Flick Industrial Holding
192,Walter Haefner,90.0,male,5.3,Europe,Automation Center
191,Stefan Persson,53.0,male,5.3,Europe, H&M
190,Gustavo Cisneros,55.0,male,5.3,Latin America,Cisneros Group
801,Americo Amorim,79.0,male,5.3,Europe,Corticeira Amorim
802,Anders Holch Povlsen,41.0,male,5.3,Europe,Bestseller
803,Stef Wertheimer,87.0,male,5.3,Middle East/North Africa,ISCAR
74,Philip Knight,58.0,male,5.3,North America,Nike
77,Michael Otto,52.0,male,5.2,Europe,Otto Group
811,Kwee brothers,69.0,male,5.2,East Asia,Pontiac Land
809,Karl-Heinz Kipp,90.0,male,5.2,Europe,Massa
810,Ken Griffin,45.0,male,5.2,North America,Citadel LLC
807,Andrew Forrest,52.0,male,5.2,North America,Fortescue Metals Group
813,Wee Cho Yaw,85.0,male,5.2,East Asia,United Overseas Bank
201,Yoshitaka Fukuda,53.0,male,5.2,East Asia,Aiful
812,Maria Asuncion Aramburuzabala,50.0,female,5.2,Latin America,Grupo Modelo
808,Bidzina Ivanishvili,58.0,male,5.2,Europe,Rossiysky Kredit
81,Fong Teng,,male,5.2,East Asia,Sino Group
86,Yasuo Takei,66.0,male,5.2,East Asia,Takefuji
83,Robert and Ten Fong Ng,,male,5.2,East Asia,Sino Group
204,Alfred Lerner,,male,5.1,North America,MBNA
844,Kirsten Rausing,61.0,female,5.1,Europe,Tetra Pak
89,Antonio Ermirio de Moraes,,male,5.1,Latin America,Votorantim Group
843,Jacqueline Desmarais,85.0,female,5.1,North America,Power Corporation of Canada
97,Eka Tjipta Widjaja,,male,5.1,East Asia,Sinar Mas Group
842,Finn Rausing,59.0,male,5.1,Europe,Tetra Pak
848,Anil Ambani,54.0,male,5.0,South Asia,Reliance
851,David Green,72.0,male,5.0,North America,Hobby Lobby
852,Frederik Paulsen,63.0,male,5.0,Europe,Ferring Pharmaceuticals
853,George Roberts,70.0,male,5.0,North America,Kohlberg Kravis Roberts
101,Silvio Berlusconi,59.0,male,5.0,Europe,Fininvest
98,Liliane Bettencourt,73.0,female,5.0,Europe,L'Oreal
854,Gordon Moore,85.0,male,5.0,North America,Intel 
855,Harry Triguboff,81.0,male,5.0,North America,Meriton
856,Henry Kravis,70.0,male,5.0,North America,Kohlberg Kravis Roberts
99,Merck family,,,5.0,Europe,Merck
857,Joe Lewis,77.0,male,5.0,Europe,Tavistock Group
858,Micky Jagtiani,62.0,male,5.0,South Asia,Landmark Group
859,Richard Branson,63.0,male,5.0,Europe,Virgin Group
208,Alain Wertheimer,,male,5.0,Europe,Chanel
860,Stein Erik Hagen,57.0,male,5.0,Europe,RIMI
850,Bruce Halle,83.0,male,5.0,North America,Discount Tire
861,Walter Kwok,63.0,male,5.0,East Asia,Sun Hung Kai Properties
849,Antonio Del Valle Ruiz,75.0,male,5.0,Latin America,Mexichem
105,Mohamed Salim Bin Mahfouz,,male,5.0,Middle East/North Africa,National Comercial bank of Saudi Arabia
209,August von Finck,70.0,male,5.0,Europe,"Allianz, Merk Finck & Co"
210,Donald Newhouse,71.0,male,5.0,North America,Advance Publications
212,Samuel Newhouse,73.0,male,5.0,North America,Advance Publications
211,Michael Otto,57.0,male,5.0,Europe,Metro AG
108,Lee Kun-Hee,,male,4.9,East Asia,Samsung
223,Serge Dassault,76.0,male,4.9,Europe,Dassault Group
896,Albert Frere,88.0,male,4.9,Europe,Groupe Bruxelles Lambert
897,Cyrus Poonawalla,72.0,male,4.9,South Asia,Serum Institute of India
898,Erivan Haub,81.0,male,4.9,Europe,Tenglemann Group
899,Frits Goldschmeding,80.0,male,4.9,Europe,Randstad
901,Heinz-Horst Deichmann,87.0,male,4.9,Europe,Heinrich Deichmann-Schuhe
902,Kunio Busujima,88.0,male,4.9,East Asia,Sankyo
903,Robert Rowling,60.0,male,4.9,North America,Tana Exploration Company
904,Savitri Jindal,63.0,female,4.9,South Asia,O.P. Jindal Group
905,Shashi and Ravi Ruia,,male,4.9,South Asia,Essar Group
900,George Lucas,69.0,male,4.9,North America,Lucasfilm
